agent,user,user_id,repo_id,prs,is_extreme_pair,observed_pair_prs_all_aidev,merged_rate_pct
Claude_Code,AtlantisPleb,14167547,715683924,28,False,28,96.42857142857143
Claude_Code,YOzaz,5859318,842589907,12,False,12,100.0
Claude_Code,spbolton,1236198,3729629,12,False,12,25.0
Claude_Code,tphakala,7030001,707764474,12,False,12,83.33333333333334
Claude_Code,max-sixty,5635139,25501620,12,False,12,100.0
Claude_Code,max-sixty,5635139,165561258,10,False,10,100.0
Claude_Code,sugyan,80381,999285986,10,False,10,80.0
Claude_Code,MH4GF,31152321,839216423,7,False,13,71.42857142857143
Claude_Code,lmeyerov,4249447,36759907,7,False,7,0.0
Claude_Code,deepracticexs,9959970,982554785,6,False,9,83.33333333333334
Copilot,Copilot,198982749,41881900,197,True,197,29.441624365482234
Copilot,Copilot,198982749,696529789,169,True,169,62.1301775147929
Copilot,Copilot,198982749,136202695,85,False,85,82.35294117647058
Copilot,Copilot,198982749,262395224,80,False,80,21.25
Copilot,Copilot,198982749,35890081,66,False,66,81.81818181818183
Copilot,Copilot,198982749,65080725,60,False,60,58.333333333333336
Copilot,Copilot,198982749,62963654,60,False,60,16.666666666666664
Copilot,Copilot,198982749,4127088,57,False,57,26.31578947368421
Copilot,Copilot,198982749,274495425,57,False,57,70.17543859649122
Copilot,Copilot,198982749,221931137,54,False,54,72.22222222222221
Cursor,ryokun6,2830514,923332984,86,True,174,77.90697674418605
Cursor,louis030195,25003283,964314175,46,False,50,52.17391304347826
Cursor,imbhargav5,2936644,156734327,45,False,45,88.88888888888889
Cursor,marcklingen,2834609,643978507,43,False,61,88.37209302325581
Cursor,mattpocock,28293365,797216527,40,False,40,85.0
Cursor,benjaminshafii,11430621,883825890,31,False,43,77.41935483870968
Cursor,mertunsall,22038471,881458615,28,False,28,50.0
Cursor,pierrevalade,11172,899127822,27,False,38,48.148148148148145
Cursor,kentcdodds,1500684,593184777,26,False,26,69.23076923076923
Cursor,Jarred-Sumner,709451,357728969,25,True,122,36.0
Devin,devin-ai-integration[bot],158243242,839216423,343,True,343,71.42857142857143
Devin,devin-ai-integration[bot],158243242,710601088,327,True,327,12.844036697247708
Devin,devin-ai-integration[bot],158243242,350360184,220,True,220,35.90909090909091
Devin,devin-ai-integration[bot],158243242,283046497,216,True,216,50.0
Devin,devin-ai-integration[bot],158243242,955904085,205,True,205,78.53658536585367
Devin,devin-ai-integration[bot],158243242,941289933,171,True,171,82.45614035087719
Devin,devin-ai-integration[bot],158243242,959682770,148,True,148,83.1081081081081
Devin,devin-ai-integration[bot],158243242,820087727,145,True,145,33.793103448275865
Devin,devin-ai-integration[bot],158243242,352436122,144,True,144,79.86111111111111
Devin,devin-ai-integration[bot],158243242,965250949,104,True,104,88.46153846153845
OpenAI_Codex,tamnd,1218621,985853139,8913,True,8913,85.65017390328732
OpenAI_Codex,MontrealAI,24208299,922805069,3569,True,3569,98.48697114037546
OpenAI_Codex,buddhika75,1226946,21764480,419,True,421,97.3747016706444
OpenAI_Codex,wieslawsoltes,2297442,134182879,305,True,306,56.0655737704918
OpenAI_Codex,jdereg,5373774,12670630,228,True,228,98.24561403508771
OpenAI_Codex,MihaiCristianCondrea,61864357,600355571,227,True,227,96.0352422907489
OpenAI_Codex,wieslawsoltes,2297442,792160692,165,True,165,70.9090909090909
OpenAI_Codex,peter-lawrey,1070321,29301872,164,True,164,92.6829268292683
OpenAI_Codex,mfreeman451,1821930,916252207,137,True,137,94.16058394160584
OpenAI_Codex,242816,173255911,663396489,129,True,129,82.17054263565892
